ID,Name,ISO639P3code,Level,Parent_ID
aari1238,Aari-Gayil,aiz,family,ahkk1235
aari1239,Aari,aiw,language,aari1238
aasa1238,Aasax,aas,language,sout3054
abab1240,Ababuan,,family,ngom1276
abad1241,Abadi,kbt,language,west2850
abag1245,Abaga,abg,language,unun9976
abai1240,Abai Sungai,abf,language,pait1248
aban1242,Abanyom,abm,language,aban1245
aban1245,Abanyom-Nkem-Nkum,,family,nort3374
abar1238,Mungbam,mij,language,yemn1234
abau1245,Abau,aau,language,sepi1257
abaz1241,Abaza,abq,language,abkh1243
abee1242,Abé,aba,language,agne1238
abel1234,Abellen-Botolan,,family,samb1319
aben1249,Abenlen Ayta,abp,language,abel1234
aben1250,Abenaki,,family,east2700
abid1235,Abidji,abi,language,agne1238
abin1243,Abinomn,bsa,language,
abip1241,Abipon,axb,language,guai1250
abis1238,Aewa,ash,language,
abkh1242,Abkhaz-Adyge,,family,
abkh1243,Abkhaz-Abaza,,family,abkh1242
abkh1244,Abkhaz,abk,language,abkh1243
abob1234,Abo-Barombi,,family,basa1283
abom1238,Abom,aob,language,tiri1259
abon1238,Abon,abo,language,nort3192
abro1238,Abron,abr,language,akan1251
abua1243,Abua-Odual,,family,cent2028
abua1244,Abua,abn,language,abua1243
abua1245,Abu' Arapesh,aah,language,buki1250
abui1241,Abui,abz,language,alor1250
abun1252,Abun,kgr,language,
abur1243,Abure,abu,language,west2816
abur1244,Abureni,mgj,language,kugb1242
abuu1241,Abu,ado,language,agoa1234
acat1239,Acatepec Me'phaa,tpx,language,west2948
acha1249,Longchuan Achang,acn,language,acha1252
acha1250,Achagua,aca,language,piap1247
acha1252,Achangic,,family,high1273
ache1244,Ache,yif,language,uncl1517
ache1245,Acheron,acz,language,ache1247
ache1246,Aché,guq,language,tupi1277
ache1247,Acheron-Tocho,,family,bura1298
achi1256,Achi,acr,language,quic1275
achi1257,Acehnese,ace,language,cham1327
achu1247,Achumawi,acv,language,pala1350
achu1248,Achuar-Shiwiar,acu,language,shua1256
acol1236,Acoli,ach,language,sout2831
acro1239,Acroá,acs,language,jece1235
adai1235,Adai,xad,language,
adam1253,Adamawa Fulfulde,fub,language,adam1260
adam1254,Adamawa Fali,,family,unun9902
adam1257,Adamawa Bua,,family,buak1234
adam1260,Adamawa-Bagirmi Fulfulde,,family,fula1265
adan1247,Adangme,ada,language,gada1257
adan1248,Adangbe,adq,language,ewei1234
adan1251,Adang,adn,language,adan1252
adan1252,Adang-Hamap-Kabola,,family,stra1245
adas1235,Adasen,tiu,language,iban1268
adel1244,Adele,ade,language,basi1245
adho1241,Adhola-Alur-Luo,,family,sout2831
adho1242,Adhola-Luo,,family,adho1241
adho1243,Adhola,adh,language,adho1242
adio1239,Adioukrou,adj,language,agne1238
adiv1239,Kotia-Adivasi Oriya-Desiya,ort,language,macr1269
adiw1235,Adiwasi Garasia,gas,language,gara1268
admi1239,Admiralty Islands,,family,ocea1241
adny1235,Adnyamathanha,adt,language,nort2752
adon1237,Adonara,adr,language,nort3216
adyg1241,Adyghe,ady,language,circ1239
adze1240,Adzera,adz,language,uppe1423
aeka1244,Aeka,aez,language,orok1268
aeky1238,Aekyom,awi,language,awin1249
aerr1238,Aer,aeq,language,west2830
afad1236,Afade,aal,language,koto1268
afar1241,Afar,aar,language,saho1245
afen1234,Afenmai-Bendel,,family,nort3182
afgh1238,Afghanistan-Uzbekistan Arabic,,family,east2729
afit1238,Afitti,aft,language,nyim1244
afri1273,Afrikaansic,,family,glob1241
afri1274,Afrikaans,afr,language,afri1273
afri1275,Afrihili,afh,language,arti1236
afro1254,Afro-Seminole Creole,afs,language,gull1243
afro1255,Afro-Asiatic,,family,
afro1259,Afro-Asiatic (Unattested),,family,unat1236
agar1251,Agariya,agi,language,drav1252
agar1252,Agarabi,agd,language,gads1260
agat1236,Agatu,agc,language,nucl1732
agav1236,Agavotaguerra,avo,language,araw1288
aghe1239,Aghem,agq,language,aghe1241
aghe1240,Aghemic,,family,west2835
aghe1241,Aghem-Weh,,family,aghe1240
aghu1253,Aghul,agx,language,aghu1259
aghu1254,Aghu Tharnggalu,ggr,language,thay1250
aghu1255,Aghu,ahh,language,mapp1234
aghu1259,Aghul-Lezgi,,family,east2367
aghw1237,Aghwan,xag,language,udia1235
agii1245,Agi,aif,language,agiy1234
agiy1234,Agi-Yeri,,family,west2788
agne1238,Agneby,,family,nyoa1234
agoa1234,Agoan,,family,ramu1234
agob1244,Agob-Ende-Kawam,kit,language,paho1240
agoi1245,Agoi-Doko-Iyoniyong,,family,uppe1418
agoi1246,Agoi,ibm,language,agoi1245
agta1234,Agta-Pahanan,apf,language,para1320
agua1251,Aguano,aga,language,araw1288
agua1252,Aguacateco,agu,language,ixil1250
agua1253,Aguaruna,agr,language,jiva1245
agun1238,Aguna,aug,language,ewei1234
agus1235,Agusan Manobo,msm,language,east2478
agut1237,Agutaynen,agn,language,kala1389
agwa1247,Agwagwune,yay,language,kohu1243
ahan1243,Ahanta,aha,language,sout2779
ahan1244,Àhàn,ahn,language,ayer1244
aheu1239,Thavung,thm,language,chut1252
ahin1234,Ahin-Kayapa Kalanguya,kak,language,kall1244
ahkk1235,AHK,,family,sout2845
ahom1240,Ahom,aho,language,sout2743
ahou1236,Ahouic,,family,nort3188
ahte1237,Ahtena,aht,language,sout3337
ahwa1235,Ndunic,nfd,language,benu1248
aian1241,Aian,,family,ramu1234
aich1238,Ai-Cham,aih,language,maka1300
aigh1235,Aighon,aix,language,pasi1254
aika1237,Aikanã,tba,language,
aikl1237,Aiklep,mwg,language,west2530
aima1241,Aimaq,aiq,language,east2745
aime1238,Aimele,ail,language,bosa1246
aimo1244,Aimol,aim,language,aimo1247
aimo1246,Aimore,,family,nucl1710
aimo1247,Aimol-Syriem,,family,oldk1252
ainb1238,Ainbai,aic,language,pagi1245
ainu1240,Hokkaido Ainu,ain,language,hokk1250
ainu1251,Ainu (China),aib,language,east2792
ainu1252,Ainu,,family,
aiom1240,Aiome,aki,language,aian1241
airo1242,Airoran,air,language,west1486
aisi1234,Aisian,,family,east2767
aito1238,Aiton,aio,language,assa1264
aizi1248,Aizi,,family,krua1234
ajab1235,Aja (Benin),ajg,language,gbee1241
ajas1235,Aja (South Sudan),aja,language,kres1240
ajaw1236,Ajawa,ajw,language,west2712
ajie1238,Ajië,aji,language,houa1234
ajyi1238,Ajyíninka Apurucayali,cpc,language,ashe1271
akaa1242,Aka,soh,language,akak1254
akab1248,Akabo,akm,language,boca1235
akab1249,Akabea,abj,language,sout2683
akac1240,Akacari,aci,language,boca1235
akaj1239,Akajeru,akj,language,jeru1239
akak1251,Akakora,ack,language,jeru1239
akak1252,Akakede,akx,language,nort3276
akak1253,Akakol,aky,language,okol1242
akak1254,Aka-Kelo-Molo,,family,east2386
akan1250,Akan,aka,language,akan1251
akan1251,Akanic,,family,cent2262
akar1243,Akarbale,acl,language,sout2683
akas1242,Akaselem,aks,language,ntch1241
akaw1239,Akawaio-Ingariko,ake,language,kapo1251
akeb1238,Akebu,keu,language,kebu1246
akee1238,Ake,aik,language,eggo1240
akei1237,Akei,tsr,language,west2845
akel1234,Akeleic,,family,nucl1803
akeu1235,Akeu,aeu,language,akha1246
akha1245,Akha,ahk,language,akha1246
akha1246,Akhaic,,family,haya1251
akhv1239,Akhvakh,akv,language,andi1254
akka1237,Akkala Saami,sia,language,main1280
akka1240,Akkadian,akk,language,east2678
akkk1240,Ak,akq,language,yell1247
akla1240,Aklanon,akl,language,west2820
akol1237,Akolet,akt,language,east2763
akoo1248,Akoose,bss,language,cent2284
akoy1238,Akoye,miw,language,tain1255
akpa1238,Akpa,akf,language,yaty1238
akpe1248,Akpes,ibe,language,akpe1249
akpe1249,Akpes-Edoid,,family,benu1247
akru1241,Chini,afi,language,tamo1242
akuk1235,Akuku,ayk,language,okpe1251
akum1238,Akum,aku,language,akum1239
akum1239,Akum-Beezen,,family,yuku1244
akun1241,Akuntsu,aqz,language,akun1243
akun1243,Corumbiara,,family,nucl1716
akur1238,Akurio,ako,language,tiri1260
akwa1248,Akwa,akw,language,koyo1244
alab1237,Alabama,akz,language,alab1247
alab1246,Alabat Island Agta,dul,language,alab1255
alab1247,Alabaman-Koasati,,family,musk1252
alab1254,Alaba-K'abeena,alw,language,kamb1318
alab1255,Alabat-Manide Agta,,family,cent2246
alac1244,Alacatlatzala Mixtec,mim,language,guer1245
alag1242,Alago,ala,language,nucl1732
alag1248,Alagwa,wbj,language,nort3164
alak1253,Alak,alk,language,bahn1264
alam1246,Alamblak,amp,language,east2496
alan1249,Alangan,alj,language,nort2873
alap1235,Alapmunte,apv,language,namb1301
alaw1244,Alawa,alh,language,mara1414
alay1234,Alaya-Athima,,family,pama1251
alba1267,Albanian,sqi,family,clas1257
alba1268,Albanian-Tosk,,family,alba1267
alba1269,Inland-Buhi-Daraga Bikol,bhk,language,inla1266
alba1272,Albatross Bay,,family,nort2758
alco1235,Alcozauca Mixtec,xta,language,guer1245
aleg1238,Alege,alf,language,bukp1239
alek1238,Alekano,gah,language,gahu1246
alem1243,Alemannic,,family,mode1258
aleu1260,Aleut,ale,language,aleu1261
aleu1261,Aleutic,,family,eski1264
alge1239,Algerian Arabic,arq,language,nort3191
alge1240,Algerian Saharan Arabic,aao,language,nort3191
algi1248,Algic,,family,
algo1255,Algonquin,alq,language,seve1242
algo1256,Algonquian-Blackfoot,,family,algi1248
algo1257,Algonquian,,family,algo1256
alii1240,Ali,aiy,language,ngba1286
alit1234,Ali-Tumleo,,family,siss1244
alla1247,Allar,all,language,mala1541
alla1248,Alladian,ald,language,avik1242
alng1239,Alngith,aid,language,leni1237
aloa1235,Aloápam Zapotec,zaq,language,sier1251
alop1235,Alo Phola,ypo,language,phol1236
alor1247,Alorese,aol,language,lama1293
alor1249,Alor-Pantar,,family,timo1261
alor1250,Alor,,family,alor1249
alse1251,Alsea-Yaquina,aes,language,
alto1249,Alto Orinoco,,family,araw1281
alto1250,Medio Rio Negro,,family,araw1281
alts1234,Altsächsisch,,family,nort3175
alug1235,Alugu,aub,language,phup1236
aluk1238,Alu Kurumba,xua,language,kann1259
alum1246,Alumu-Tesu,aab,language,alum1251
alum1249,Alumic,,family,benu1248
alum1250,Alumu-Toro,,family,alum1249
alum1251,Alumu-Akpondu,,family,alum1250
alun1238,Alune,alp,language,ulat1237
aluo1235,Aluo,yna,language,unun9956
alur1250,Alur,alz,language,adho1241
alut1245,Alutor,alr,language,kory1247
alvi1241,Alviri-Vidari,avd,language,sout3177
alya1239,Alyawarr,aly,language,aran1263
amah1245,Amahai,amq,language,elpa1239
amah1246,Amahuaca,amc,language,head1239
amai1246,Amaimon,ali,language,croi1234
amal1242,Amal,aad,language,sepi1257
amal1243,Amalumute,,family,thre1238
amam1245,Amami,,family,nort3255
aman1265,Amanab,amn,language,wari1265
aman1266,Amanayé,ama,language,araw1290
amap1240,Ama (Papua New Guinea),amm,language,nucl1244
amar1271,Amurdak,amg,language,iwai1246
amar1272,Amara,aie,language,sout2874
amar1273,Amarasi,aaz,language,uabm1238
amar1274,Amarakaeri,amr,language,hara1260
amas1236,Ama (Sudan),nyi,language,nyim1244
amat1238,Amatlán Zapotec,zpo,language,amat1239
amat1239,Amatecano,,family,macr1276
amba1263,Amba (Uganda),rwm,language,komo1265
amba1265,Ambai,amk,language,ansu1238
amba1266,Amba (Solomon Islands),utp,language,utup1238
amba1267,Ambala Ayta,abc,language,samb1319
amba1269,Ambakich,aew,language,east2864
amba1270,Ambae,,family,nort3205
